Conference's Acronym with year	Conference's Acronym	Year	Conference's Name	Location
KDD 2011	KDD	2011	The 17th ACM SIGKDD Conference on Knowledge Discovery and Data Mining	San Diego, California
EuroVA 2011	EuroVA	2011	EuroVis Workshop on Visual Analytics	Bergen, Norway
AMCIS 2011	AMCIS	2011	Minitrack: Business Process Management and Innovation	Detroit, USA
BNCOD 2011	BNCOD	2011	BNCOD 2011: 28th British National Conference on Databases	Manchester, United Kingdom
SSDBM 2011	SSDBM	2011	23rd International Conference on Scientific and Statistical Database Management	Portland, Oregon
USEWOD 2011	USEWOD	2011	Workshop on Usage Analysis and the Web of Data	Hyderabad, India
DCNET 2011	DCNET	2011	International Conference on Data Communication Networking (DCNET)	Seville - Spain
ICEIS 2011	ICEIS	2011	13th International Conference on Enterprise Information Systems	Beijing, China
IJAIA 2016	IJAIA	2016	International Journal of Artificial Intelligence & Applications	N/A
ICMLC 2017	ICMLC	2017	2017 9th International Conference on Machine Learning and Computing (ICMLC 2017)-ACM, Ei	Singapore
ICITM - IEEE 2017	ICITM - IEEE	2017	6th International Conference on Industrial Technology and Managemen - IEEE, Ei	Clare College, Cambridge, UK
ICPRAM 2017	ICPRAM	2017	International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
NIPS ML4HC 2016	NIPS ML4HC	2016	Machine Learning for Health @ NIPS 2016	Barcelona, Spain
ICMLSC - ACM 2017	ICMLSC - ACM	2017	2017 International Conference on Machine Learning and Soft Computing (ICMLSC 2017)--Ei, ISI and Scopus	Ho Chi Minh City, Vietnam
PAKDD 2017	PAKDD	2017	The 21st Pacific-Asia Conference on Knowledge Discovery and Data Mining	Jeju Island, Korea
iDSC 2017	iDSC	2017	1st International Data Science Conference	Salzburg, Austria
EvoMUSART 2017	EvoMUSART	2017	6th International Conference on Computational Intelligence in Music, Sound, Art and Design	Amsterdam
EuroGP 2017	EuroGP	2017	20th European Conference on Genetic Programming	Amsterdam
CML 2016	CML	2016	Constructive Machine Learning	Barcelona, Spain
ICLR 2017	ICLR	2017	5th International Conference on Learning Representations	Palais des Congrès Neptune, Toulon, Fr
IEEE BigComp 2017	IEEE BigComp	2017	[Deadline Extension Oct 21, 2016] 2017 IEEE International Conference on Big Data and Smart Computing	Jeju Island
ICIET 2017	ICIET	2017	5th International Conference on Information and Education Technology -ACM	Tokyo, Japan
ICMAA -MATEC 2017	ICMAA -MATEC	2017	International Conference on Mechanical, Aeronautical and Automotive Engineering-EI,Scopus	Malacca(Melaka), Malaysia
ICBCB 2017	ICBCB	2017	5th International Conference on Bioinformatics and Computational Biology -ACM	Hong Kong
IJCNN 2017	IJCNN	2017	International Joint Conference on Neural Networks	Anchorage, Alaska
IJCNN SS on Audio Applications 2017	IJCNN SS on Audio Applications	2017	IJCNN 2017 Special Session on Computational Intelligence Algorithms for Digital Audio Applications	Anchorage
Big Data Analytics@IJCNN 2017	Big Data Analytics@IJCNN	2017	Special Session: 'Large Datasets and Big Data Analytics: Theory, Methods, and Applications' at IJCNN 2017	Anchorage, Alaska, USA
ESANN 2017	ESANN	2017	25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	Bruges, Belgium
ICAISC 2017	ICAISC	2017	International Conference on Artificial Intelligence and Soft Computing	Zakopane, Poland
CBR@FLAIRS 2017	CBR@FLAIRS	2017	FLAIRS-30 Special Track on Case-Based Reasoning	Marco Island
FLAIRS 2017	FLAIRS	2017	FLAIRS-30: Special Track in Data Mining	Marco Island, Florida
RecSys@FLAIRS 2017	RecSys@FLAIRS	2017	Recommender Systems Special Track at the International FLAIRS Conference	Marco Island
EACL SRW 2017	EACL SRW	2017	EACL 2017 Student Research Workshop	Valencia
ICAAI 2017	ICAAI	2017	International Conference on Advances in Artificial Intelligence -EI Compendex, Scopus, and ISI CPCS	Bangkok, Thailand
ICSCE 2017	ICSCE	2017	International Conference on Soft Computing in Engineering	Jaipur, India
CMVIT 2017	CMVIT	2017	2017 International Conference on Machine Vision and Information Technology (CMVIT 2017)	Singapore
BigData-FAB 2016	BigData-FAB	2016	Special Issue on “Big Data and Machine Learning in Finance, Accounting and Business” in Electronic Commerce Research (Springer)	N/A
TFML 2017	TFML	2017	Conference on Theoretical Foundations of Machine Learning 2017	Cracow, Poland
ASC 2017	ASC	2017	The International Workshop on Affective and Sentimental Computing	Jeju Island, Korean
Call for book chapters ASCMLIP 2017	Call for book chapters ASCMLIP	2017	Advances in Soft Computing and Machine Learning in Image Processing (Springer)	N/A
SI: CAfBMD 2016	SI: CAfBMD	2016	Springer Multimedia Tools and Applications Special Issue on Content Analysis for Big Multimedia Data	N/A
IWSPA 2017	IWSPA	2017	3rd International Workshop on Security and Privacy Analytics	Scottsdale, AZ
KALSIMIS 2017	KALSIMIS	2017	Knowledge Acquisition and Learning in Semantic Interpretation of Medical Image Structures	Porto
WSDM Cup 2017	WSDM Cup	2017	WSDM Cup 2017: Knowledge Base Quality and Search	Cambridge
KDD 2017	KDD	2017	Knowledge Discovery and Data Mining	Halifax, Nova Scotia - Canada
IEA/AIE NAAD 2017	IEA/AIE NAAD	2017	Special Track on Novel Approaches to Anomaly Detection	Arras, France
MaLTeSQuE 2017	MaLTeSQuE	2017	Machine Learning Techniques for Software Quality Evaluation	Klagenfurt
SWJ - KB generation & population 2016	SWJ - KB generation & population	2016	Semantic Web Journal - Special Issue on Machine Learning for Knowledge Base Generation and Population	N/A
ESWC 2017	ESWC	2017	14th Extended Semantic Web Conference	Portoroz, Slovenia
JWS-SS 2016	JWS-SS	2016	Journal of Web Semantics special issue on Semantic Statistics	N/A
CVIU 2016	CVIU	2016	Special Issue on Vision and Computational Photography and Graphics	N/A
SCIA 2017	SCIA	2017	SCIA 2017, the Scandinavian Conference on Image Analysis	Tromsø, Norway
MLDM 2017	MLDM	2017	Machine Learning and Data Mining in Pattern Recognition	New York, USA
CCML 2017	CCML	2017	The 16th China Conference on Machine Learning	Tianjin China
ICIVC 2017	ICIVC	2017	2nd International Conference on Image, Vision and Computing	Chengdu, China
ISMIS 2017	ISMIS	2017	23rd International Symposium on Methodologies for Intelligent Systems	Warsaw, Poland
MOCO 2017	MOCO	2017	International Conference on Movement and Computing (MOCO 2017)	28-30th June, London UK
ACM--ICDLT 2017	ACM--ICDLT	2017	ACM--2017 International Conference on Deep Learning Technologies (ICDLT 2017)--Ei Compendex and Scopus	Chengdu, China
ICMR 2017	ICMR	2017	ACM International Conference on Multimedia Retrieval	Bucharest, Romania
ICRV 2017	ICRV	2017	IEEE--2017 3rd International Conference on Robotics and Vision (ICRV 2017)--Ei Compendex and Scopus	Wuhan, China
ACIRS-IEEE 2017	ACIRS-IEEE	2017	IEEE - 2nd Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2017)	Wuhan, China
IJCAI 2017	IJCAI	2017	International Joint Conference on Artificial Intelligence	Melbourne, Australia
ICMMR 2017	ICMMR	2017	2017 4th International Conference on Mechanics and Mechatronics Research (ICMMR 2017) - Ei Compendex, Scopus and CPCI	Xi'an, China
ICML 2017	ICML	2017	34th International Conference on Machine Learning	Sydney
PAML 2017	PAML	2017	Privacy Aware Machine Learning	Reggio di Calabria
IEEE-ICRAS 2017	IEEE-ICRAS	2017	2017 International Conference on Robotics and Automation Sciences (ICRAS 2017)--IEEE, Ei Compendex and Scopus	Hong Kong
AIM@EPIA 2017	AIM@EPIA	2017	Artificial Intelligence in Medicine	Porto, Portugal
ECML-PKDD 2017	ECML-PKDD	2017	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Skopje, Macedonia
ISIS 2017	ISIS	2017	The 18th International Symposium on Advanced Intelligent Systems (ISIS2017)	Daegu, South Korea
INIT/AERFAISummerSchoolML 2017	INIT/AERFAISummerSchoolML	2017	INIT/AERFAI Summer School on Machine Learning	Benicàssim (Spain)
DSAA 2017	DSAA	2017	The 4th IEEE International Conference on Data Science and Advanced Analytics 2017	Tokyo, Japan
IRRATIONAL 2016	IRRATIONAL	2016	IMPERFECT DECISION MAKERS: ADMITTING REAL-WORLD RATIONALITY	Barcelona
BigGraphs 2016	BigGraphs	2016	The 3rd IEEE Big Data Workshop on High Performance Big Graph Data Management, Analysis, and Mining	Washington, D.C.
VISAPP 2017	VISAPP	2017	12th International Conference on Computer Vision Theory and Applications	Porto, Portugal
ICPRAM 2017	ICPRAM	2017	6th International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
ICRMM 2017	ICRMM	2017	2017 4th International Conference on Robotics, Mechanics and Mechatronics (ICRMM 2017)-Ei and Scopus	Penang, Malaysia
Special Issue GPEM 2016	Special Issue GPEM	2016	Special Issue on Automated Design and Adaptation of Heuristics for Scheduling and Combinatorial Optimisation - Genetic Programming and Evolvable Machines (Springer)	N/A
SI-HKLMA 2016	SI-HKLMA	2016	Heterogeneous Knowledge Learning for Multimedia Analytics	N/A
FILM 2016	FILM	2016	Future of Interactive Learning Machines Workshop @ NIPS 2016	Barcelona, Spain
AISTATS 2017	AISTATS	2017	The 20th International Conference on Artificial Intelligence and Statistics	Fort Lauderdale, Florida, USA
BigData-BMLIT 2016	BigData-BMLIT	2016	IEEE Workshop on Big Data and Machine Learning in Telecom In conjunction with the 2016 IEEE International Conference on Big Data	Washington DC, USA
Big EMPS 2016	Big EMPS	2016	Workshop on Big Data and Analytics for Emergency Management and Public Safety	Washington DC
ICCMA-EI 2016	ICCMA-EI	2016	4th International conference on Control, Mechatronics and Automation	Barcelona, Spain
FMBBS 2016	FMBBS	2016	IEEE BIBM Workshop on Formal Methods for Biological and Biomedical Systems	Shenzhen, China
ADS 2017	ADS	2017	ACIIDS 2017 Special Session on Applications of Data Science	Kanazawa, Japan
MAMLAKE 2017	MAMLAKE	2017	Special Session on Modern Applications of Machine Learning for Actionable Knowledge Extraction	Kanazawa, Japan
VAAM 2016	VAAM	2016	Video Analytics for Audience Measurement	Cancún - Mexico
CPSCom 2016	CPSCom	2016	The 9th IEEE International Conference on Cyber, Physical and Social Computing	Chengdu, Sichuan, China
SoCPaR 2016	SoCPaR	2016	8th International Conference on Soft Computing & Pattern Recognition	VIT University, Vellore
WNUT 2016	WNUT	2016	The 2nd Workshop on Noisy User-generated Text @COLING	Osaka, Japan
EWRL 2016	EWRL	2016	The 13th European Workshop on Reinforcement Learning	Barcelona, Spain
AWRL 2016	AWRL	2016	First Asian Workshop on Reinforcement Learning	Hamilton, New Zealand
ACM SAC-RS 2017	ACM SAC-RS	2017	ACM SIGAPP Symposium On Applied Computing 2017 - Track on Recommender Systems: Theory and Applications	Marrakech, Morocco
DATA STREAMS TRACK 2017	DATA STREAMS TRACK	2017	DATA STREAMS TRACK - ACM SAC 2017	Marrakech, Morocco
IEEE-ICSRS 2016	IEEE-ICSRS	2016	IEEE-2016 International Conference on System Reliability and Science (ICSRS 2016)-EI Compendex	Paris, France
BDM-ISF 2016	BDM-ISF	2016	Special issue on Behavioral-Data Mining in Information Systems and the Big Data Era	N/A
ICBNA 2016	ICBNA	2016	The 3rd International Conference on Bayesian Networks and Applications	Tunisia
ICMV 2016	ICMV	2016	EI Compendex & SCOPUS - 2016 The 9th International Conference on Machine Vision (SPIE-ICMV 2016)	Nice, France
WINVIZNN 2016	WINVIZNN	2016	ACCV 2016 Workshop on Interpretation and Visualization of Deep Neural Nets	Taipei, Taiwan
MLHPC 2016	MLHPC	2016	Machine Learning in High Performance Computing Environments Workshop	Salt Lake City, UT, USA
SeMaT 2016	SeMaT	2016	AMTA 2016 Workshop on Semitic Machine Translation	Austin
WiML 2016	WiML	2016	11th Workshop for Women in Machine Learning, Co-located with NIPS	Barcelona, Spain
MDDM 2016	MDDM	2016	1st International Workshop on Maritime Domain Data Mining at ICDM 2016	Barcelona
SoMeRis 2016	SoMeRis	2016	2nd International ICDM Workshop on Data Science for Social Media and Risk (SoMeRis 2016)	Barcelona, Spain
NTIRE 2016	NTIRE	2016	ACCV 2016 - Workshop on New Trends in Image Restoration and Enhancement	Taipei, Taiwan
ICMME 2016	ICMME	2016	EI & Scopus--2016 3rd International Conference on Mechatronics and Mechanical Engineering (ICMME 2016)	Shanghai,China
MLPM 2016	MLPM	2016	Special Session on Machine Learning for Predictive Models in Engineering Applications - IEEE ICMLA 2016	California
IEEE-ISCMI 2016	IEEE-ISCMI	2016	2016 3rd Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2016)-IEEE Xplore, Ei	Dubai, UAE
ACCVW-MLAC 2016	ACCVW-MLAC	2016	ACCV'16 Workshop on Multi-view Lip-reading & Audio-visual Challenges	Taipai, Taiwan
MLSB posters 2016	MLSB posters	2016	Call for Poster abstracts: 10th International Workshop Machine Learning in Systems Biology (MLSB-2016)	The Hague, Netherlands
WMLI 2016	WMLI	2016	ICANN 2016 Workshop on Machine Learning and Interpretability	Barcelona, Spain
AECIA 2016	AECIA	2016	Third International Afro-European Conference for Industrial Advancement	Marrakesh, Morrocco
Electronic Imaging 2017	Electronic Imaging	2017	IS&T International Symposium on Electronic Imaging 2017	Burlingame, CA
ACML 2016	ACML	2016	8th Asian Conference on Machine Learning	Hamilton, New Zealand
BigDF 2016	BigDF	2016	IEEE International Workshop on Foundations of Big Data Computing	Hyderabad, India
MLSCPS 2016	MLSCPS	2016	2016 IEEE Workshop on Machine Learning in Security of Cyber-Physical Systems (MLSCPS)	Anaheim, CA, USA
ICFET 2016	ICFET	2016	The 2nd International Conference on Frontiers of Educational Technologies (ICFET 2016)	Singapore
IEEE HPSC 2016	IEEE HPSC	2016	The 3rd IEEE International Conference on High Performance and Smart Computing	Shenzhen, China
ALatIKNOW 2016	ALatIKNOW	2016	Active Learning: Applications, Foundations and Emerging Trends	Graz, Austria
AI 2016	AI	2016	The 29th Australasian Joint Conference on Artificial Intelligence	Hobart, Australia
ICRMV 2016	ICRMV	2016	2016 International Conference on Robotics and Machine Vision (ICRMV 2016)-Scopus, Ei & Web of Science (CPCI)	Moscow, Russia
MECHA 2016	MECHA	2016	Third International Conference on Mechanical Engineering	Dubai,UAE
SSCI 2016	SSCI	2016	2016 IEEE Symposium on Computational Intelligence in Dynamic and Uncertain Environments	Athens, Greece
AICS 2016	AICS	2016	24th Irish Conference on Artificial Intelligence and Cognitive Science	Dublin, Ireland
DARE 2016	DARE	2016	ECML/PKDD 2016, 4th International Workshop on Data Analytics for Renewable Energy Integration	Riva del Garda, Italy
SCDS 2016	SCDS	2016	2nd International Conference on Soft Computing in Data Science 2016 (SCDS 2016)	Kuala Lumpur, Malaysia
SSDM 2017	SSDM	2017	The 2nd ECML/PKDD 2016 workshop on Statistically Sound Data Mining	Riva del Garda, Italy
ACSIJ v5 i4 July 2016	ACSIJ v5 i4 July	2016	Advances in Computer Science : an International Journal	N/A
IFLDS 2016	IFLDS	2016	Special Issue on Information Fusion in Learning from Data Streams	N/A
CyberC 2016	CyberC	2016	CyberC (Tech. Sponsored by IEEE CS, IEEE Big Data, IEEE SDN) China Oct. 13-14, 2016	Chengdu, China
Big Data 2016	Big Data	2016	The 4th International Workshop on Big Data	Chengdu, China
ICACSIS 2016	ICACSIS	2016	ICACSIS 2016 : 8th International Conference of Advanced Computer Science and Information Systems	Malang, Indonesia
MIDAS 2016	MIDAS	2016	The First Workshop on MIning DAta for financial applicationS @ECML-PKDD 2016	Riva del Garda (Italy)
ICRAE 2016	ICRAE	2016	2016 International Conference on Robotics and Automation Engineering (ICRAE 2016)--EI compendex	Jeju Island, Korea
ISCMI 2016	ISCMI	2016	3rd Intl. Conference on Soft Computing & Machine Intelligence	Dubai, UAE
DSS 2016	DSS	2016	2nd International Workshop on Data-driven Self-regulating Systems	Augsburg, Germany
ICMLA 2016	ICMLA	2016	IEEE International Conference on Machine Learning and Applications (IEEE ICMLA'16)	Los Angeles, California, USA
VARVAI 2016	VARVAI	2016	1st workshop on Virtual/Augmented Reality for Visual Artificial Intelligence	Amsterdam
SSDM 2016	SSDM	2016	The 2nd ECML/PKDD Workshop on Statistically Sound Data Mining	Riva del Garda, Italy
MLSA 2016	MLSA	2016	Machine Learning and Data Mining for Sports Analytics (MLSA 16) @ ECML/PKDD 2016	Riva del Garda
UCC - IDP 2016	UCC - IDP	2016	UCC - IDP 2016: The 5th International Workshop on Intelligent Data Processing	Shanghai
HPCAC 2016	HPCAC	2016	5th Annual Spain Conference 2016	Leon Spain
CITMIA 2016	CITMIA	2016	Special Issue on Computational Intelligence Technique in Medical Image Analysis	N/A
CRC 2016	CRC	2016	2016 International Conference on Cybernetics, Robotics and Control (CRC 2016)	Hong Kong
AIPR 2016	AIPR	2016	Applied Imagery Pattern Recognition	Washington DC
SCDS 2016	SCDS	2016	2nd International Conference on Soft Computing in Data Science 2016 (SCDS2016)	Kuala Lumpur
MWDHealth 2016	MWDHealth	2016	The International Workshop on Mining Wearable Data for Healthcare	Chicago
MWDHealth 2016	MWDHealth	2016	The International Workshop on Mining Wearable Data for Healthcare	Chicago
GCAI 2016	GCAI	2016	GCAI 2016, CfP, 2nd Global Conference on Artificial Intelligence, Berlin, Germany, 29th September - 2nd October 2016	Berlin, Germany
IEEE-ICRAS 2016	IEEE-ICRAS	2016	IEEE-2016 2th International Conference on Robotics and Automation Sciences (ICRAS 2016)-Ei Compendex	New Taipei, Taiwan
DLRS 2016	DLRS	2016	Deep Learning for Recommender Systems	Boston, USA
CIBB 2016	CIBB	2016	Thirteenth International meeting on Computational Intelligence methods for Bioinformatics and Biostatistics	Stirling, Scotland, Great Britain
TENCON-SS-CITA 2016	TENCON-SS-CITA	2016	Special Session on Computational Intelligence Techniques and Applications at TENCON 2016	Singapore
KDWEB 2016	KDWEB	2016	2nd International Workshop on Knowledge Discovery on the Web	Cagliari, Italy
STSIVA 2016	STSIVA	2016	21st Symposium on Signal Processing, Images and Artificial Vision	Bucaramanga, Colombia
Smart X 2016	Smart X	2016	The 2016 International Conference on Smart X	Dalian, China
LWDA/KDML 2016	LWDA/KDML	2016	Workshop on Knowledge Discovery, Data Mining and Machine Learning	Potsdam, Germany
YSM 2016	YSM	2016	42nd Young Statisticians Meeting	London
EGPAI 2016	EGPAI	2016	1st International Workshop on Evaluating General-Purpose AI	The Hague, The Netherlands
ICGI 2016	ICGI	2016	The 13th International Conference on Grammatical Inference	Delft, The Netherlands
EEML 2016	EEML	2016	Third International Workshop on Experimental Economics and Machine Learning	Moscow, Russia
PAPIs 2016	PAPIs	2016	CFP: 3rd International Conference on Predictive APIs and Apps (PAPIs)	Boston
IIP 2016	IIP	2016	9th International Conference on Intelligent Infoemation Processing	Melbourne
IDEAL 2016	IDEAL	2016	17th International Conference on Intelligent Data Engineering and Automated Learning	Yangzhou, China
CIARP 2016	CIARP	2016	21st IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION	Lima, Peru
GlobalSIP 2016	GlobalSIP	2016	2016 IEEE Symposium on Machine Learning for Characterization of Cognitive Communications and Radar	Washington, DC
ICMST--Ei 2016	ICMST--Ei	2016	Ei Compendex, Scopus--2016 7th International Conference on Manufacturing Science and Technology (ICMST 2016)	Sarawak, Malaysia
ENIC 2016	ENIC	2016	The Third European Network Intelligence Conference	Wrocław, Poland
MLICOM 2016	MLICOM	2016	The First International Conference on Machine Learning and Intelligent Communications	Shanghai
Industry Track RuleML 2016	Industry Track RuleML	2016	10th International Web Rule Symposium (RuleML) 2016 Industry Track	Stonybrook, NY
ITSBD 2016	ITSBD	2016	International workshop on Intelligent Transportation Systems and Big Data	Thessaloniki, Greece
KACSTIT 2016	KACSTIT	2016	The 4th Saudi International Conference on Information Technology (Big Data Analysis)	Riyadh, Saudi Arabia
ODD 2016	ODD	2016	KDD 2016 Workshop on Outlier Definition, Detection, and Description on Demand	San Francisco
MLG 2016	MLG	2016	12th International Workshop on Mining and Learning with Graphs	San Francisco, CA
EI-KDD 2016	EI-KDD	2016	KDD 2016 Workshop on Enterprise Intelligence	San Francisco, CA
ACMME--EI 2016	ACMME--EI	2016	2016 4th Asia Conference on Mechanical and Materials Engineering (ACMME 2016)--Ei,ISI,Scopu	Kuala Lumpur, Malaysia
CD 2016	CD	2016	The 2016 ACM SIGKDD Workshop on Causal Discovery	San Francisco, California
RAHA - 2016	RAHA -	2016	Robotics and Automation for Humanitarian Applications	Amritapuri, Kerala, India
ANNPR 2016	ANNPR	2016	Artificial Neural Networks for Pattern Recognition	Ulm University, Germany
DS 2016	DS	2016	19th International Conference on Discovery Science	Bari, Italy
DIM 2016	DIM	2016	The Fifth IEEE International Workshop on Data Integration and Mining	Pittsburgh
NIPS 2016	NIPS	2016	The Thirtieth Annual Conference on Neural Information Processing Systems	Barcelona, SPAIN
ACIRS 2016	ACIRS	2016	IEEE-2016 Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2016)--EI Compendex	Tokyo, Japan
DSAA 2016	DSAA	2016	IEEE DSAA: Third International Conference on Data Science and Advanced Analytics	Montreal, Canada
IEEE-CCSSE 2016	IEEE-CCSSE	2016	2016 2nd International Conference on Control Science and Systems Engineering (CCSSE 2016)--IEEE Xplore and Ei Compendex	Singapore
ILP 2016	ILP	2016	The 26th International Conference on Inductive Logic Programming	London, UK
CCIA 2016	CCIA	2016	19 th International Conference of the Catalan Association for Artificial Intelligence	Universitat Pompeu Fabra, Barcelona
HCOMP 2016	HCOMP	2016	Conference on Human Computation and Crowdsourcing	Austin, TX, USA
JDSA Speical Issue 2016	JDSA Speical Issue	2016	Special issue on Causal Discovery for the Journal of Data Science and Analytics	N/A
ICSAE 2016	ICSAE	2016	ICSAE 2016 2nd International Conference on Sustainable Automotive Engineering--EI Compendex	Lucerne, Switzerland
MLSP Special Session 2016	MLSP Special Session	2016	Special Session @ MLSP 2016 : Computational Methods for Audio Analysis	Vietri Sul Mare, Italy
ICTTE-Ei 2016	ICTTE-Ei	2016	EI Compendex--(ICTTE 2016)2016 5th International Conference on Transportation and Traffic Engineering	Lucerne, Switzerland
TGC@ICONIP 2016	TGC@ICONIP	2016	Special session on Topological & Graph-based Clustering,	Kyoto, Japan
EUVIP 2016	EUVIP	2016	6th European Workshop on Visual Information Processing	Marseille, France
EANN 2016	EANN	2016	17th International Conference on Engineering Applications of Neural Networks	Aberdeen, Scotland
CSIT 2016	CSIT	2016	The 7th International Conference on Computer Science & Information Technology 2016 [Indexed by IEEEXplore and technically co-sponsored By IEEE Computer Society]	Amman-Jordan
SMLIR 2016	SMLIR	2016	2nd Workshop on Tools and Technologies in Statistics, Machine Learning and Information Retrieval	Thessaloniki, Greece,
FuturePD 2016	FuturePD	2016	The Future of Personal Data - International Workshop at ACM UMAP '16	Halifax
IDA 2016	IDA	2016	The 15th International Symposium on Intelligent Data Analysis	Stockholm
VS3 2016	VS3	2016	Vision and Sports Summer School 2016	Prague
MLSP 2016	MLSP	2016	IEEE International Workshop on MACHINE LEARNING FOR SIGNAL PROCESSING	Vietri sul Mare, Salerno, Italy
MLSP 2016	MLSP	2016	IEEE International Workshop on Machine Learning for Signal Processing	Salerno, Italy
TPDP 2016	TPDP	2016	Second workshop on the Theory and Practice of Differential Privacy	New York, USA
AISI 2016	AISI	2016	The 2nd International Conference on Advanced Intelligent Systems and Informatics (AISI’16)	Egypt
S3PBIGDATA 2016	S3PBIGDATA	2016	IEEE Signal Processing Society Summer School on Signal Processing and Machine Learning for Big Data	Pittsburgh, PA, USA
S3PBIGDATA 2016	S3PBIGDATA	2016	IEEE Signal Processing Society Summer School on Signal Processing and Machine Learning for Big Data	Pittsburgh, PA, USA
ICAME 2016	ICAME	2016	SCOPUS & Ei--2016 the 5th International Conference on Advances in Mechanics Engineering (ICAME 2016)	Singapore
ICROM 2016	ICROM	2016	ICROM 2016 The 3rd International Conference on Robotics and Mechatronics(SCOPUS, Ei Compendex)	Singapore
Summer School FCM 2016	Summer School FCM	2016	First Summer School on Fuzzy Cognitive Maps	Volos, Greece
PAML 2016	PAML	2016	Privacy Aware Machine Learning for Health Data Science	Salzburg
AIAP 2016	AIAP	2016	3rd International Conference on Artificial Intelligence and Applications	Vienna , Austria
ICAME--Ei 2016	ICAME--Ei	2016	2016 the 5th International Conference on Advances in Mechanics Engineering (ICAME 2016)---SCOPUS & Ei	Singapore
ICMMR-Ei 2016	ICMMR-Ei	2016	Ei & Scopus--2016 3rd International Conference on Mechanics and Mechatronics Research (ICMMR 2016)	Chongqing, China
ICONIP 2016	ICONIP	2016	The 23rd International Conference on Neural Information Processing	Kyoto, Japan
MWDA 2016	MWDA	2016	WAIM2016 Workshop on Mobile Web Data Analytics	Nanchang, Jiangxi, China
DeepRL 2016	DeepRL	2016	Deep Reinforcement Learning Workshop @IJCAI 2016	New York City, New York, USA
SPLINE 2016	SPLINE	2016	International Workshop on Sensing Processing and Learning for Intelligent Machines	Aalborg, Denmark
BOOM 2016	BOOM	2016	IJCAI International Workshop on Biomedical infOrmatics with Optimization and Machine learning (BOOM)	New York, US
SML 2016	SML	2016	3rd International Workshop on Semantic Machine Learning	New York, USA
IML 2016	IML	2016	IJCAI International Workshop on Interactive Machine Learning	New York, USA
IJCAI-KDHEALTH 2016	IJCAI-KDHEALTH	2016	Workshop on Knowledge Discovery in Healthcare Data	New York City
WIRN 2016	WIRN	2016	Italian Workshop on Neural Networks	Vietri s.m. (Salerno)
ECAI 2016	ECAI	2016	European Conference on Artificial Intelligence	The Hague, the Netherlands
SMC-BMI 2016	SMC-BMI	2016	6th Workshop on Brain-Machine Interfaces Systems @ SMC 2016	Budapest, Hungary
ITBAM 2016	ITBAM	2016	7th International Conference on Information Technology in Bio- and Medical Informatics	Porto
BDL 2016	BDL	2016	Workshop on Big Data & Deep Learning in HPC [Springer LNCS]	Porto
CAP 2016	CAP	2016	Conférence francophone sur l’apprentissage automatique	Marseille (France)
GECCOsws 2016	GECCOsws	2016	GECCO Student Workshop	Denver, CO
FOCS 2016	FOCS	2016	57th Annual IEEE Symposium on Foundations of Computer Science	New Brunswick, New Jersey, USA
ECML-PKDD 2016	ECML-PKDD	2016	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Riva del Garda
SAEOpt 2016	SAEOpt	2016	Workshop on Surrogate-Assisted Evolutionary Optimisation (SAEOpt)	Denver, USA
ICMSC--EI 2016	ICMSC--EI	2016	EI &Scopus--2016 International Conference on Mechanical, System and Control Engineering (ICMSC 2016)	Moscow, Russia
AGI 2016	AGI	2016	Artificial General Intelligence	New York City, USA
JCSSE 2016	JCSSE	2016	The 13th International Joint Conference on Computer Science and Software Engineering	Khon Kaen, Thailand
SCIS-ISIS 2016	SCIS-ISIS	2016	Joint 8th International Conference on Soft Computing and Intelligent Systems and 17th International Symposium on Advanced Intelligent Systems	Sapporo, Hokkaido, Japan
INISTA 2016	INISTA	2016	International Symposium on INnovations in Intelligent SysTems and Applications	Sinaia, Romania
ICMEP 2016	ICMEP	2016	Ei Compendex, Scopus--2016 The 5th International Conference on Manufacturing Engineering and Process (ICMEP 2016)	Istanbul, Turkey
ICMAS 2016	ICMAS	2016	2016 The 2nd International Conference on Mechatronics and Automation Science (ICMAS 2016) ---EI &Scopus	Istanbul, Turkey
CVVT 2016	CVVT	2016	CVVT 2016 – 7th international Workshop on Computer Vision in Vehicle Technology @ CVPR 2016	Las Vegas, UASA
ASC-BA 2016	ASC-BA	2016	Applied Soft Computing for Business Analytics	N/A
ECCV 2016	ECCV	2016	European Conference on Computer Vision	Amsterdam, The Netherlands
ML-HPC 2016	ML-HPC	2016	NATIONAL CONFERENCE ON MACHINE LEARNING AND HIGH PERFORMANCE COMPUTING	Pune, India
AIFZ 2016	AIFZ	2016	Second International Conference on Artificial Intelligence and Fuzzy Logic Systems	Chennai , India
PBVS 2016	PBVS	2016	12th IEEE Workshop on Perception Beyond the Visible Spectrum - In conjunction with CVPR 2016	Las Vegas, NV, USA
ICRV 2016	ICRV	2016	ICRV 2016 2nd International Conference on Robotics and Vision - Scopus, Ei Compendex	Tokyo, Japan
